Sample ID_16S	16S_Seq_number_Subset2	Study_ID	Publication	study_accession	Study_Origin	Gene	Plant_species	Family	Plant	Genotype	Habitat	Condition	instrument_model	library_layout	PlantbyStudy	sample_title	Year	Country	Harvest	Inoculation	Site	Seed_fraction	Microbe_collection	Seed_number	Seed_mass_g	pielou_e_16S	observed_otus_16S	shannon_16S	Sample ID_ITS	pielou_e_ITS	observed_otus_ITS	shannon_ITS	Ratio_observed_otus
SRR7133700	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN074	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.75572445	88	4.881550409	SRR7133700	0.101064711	17	0.41309825	5.176470588
SRR7133701	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN078	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.771080877	86	4.955169861	SRR7133701	0.673500519	46	3.720121843	1.869565217
SRR7133702	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN078	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.670571267	50	3.784607797	SRR7133702	0.071038171	17	0.290365885	2.941176471
SRR7133703	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN078	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.611429704	66	3.695722105	SRR7133703	0.535265933	38	2.809036816	1.736842105
SRR7133704	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN081	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.85678602	66	5.178752383	SRR7133704	0.531515214	34	2.704063903	1.941176471
SRR7133705	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN013	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.761768163	47	4.231308947	SRR7133705	0.588298808	32	2.941494042	1.46875
SRR7133706	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN013	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.81644099	48	4.559792315	SRR7133706	0.514998774	36	2.662505037	1.333333333
SRR7133707	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN012	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.803043949	68	4.8885002	SRR7133707	0.267919159	20	1.157927339	3.4
SRR7133708	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN012	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.801660217	83	5.110615493	SRR7133708	0.638310881	16	2.553243523	5.1875
SRR7133709	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN015	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.720487043	42	3.885094836	SRR7133709	0.258037488	14	0.982440301	3
SRR7133710	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN015	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.821533972	79	5.178770037	SRR7133710	0.524024978	20	2.264798276	3.95
SRR7133711	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN014	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.82607142	54	4.753948092	SRR7133711	0.287113654	13	1.06244677	4.153846154
SRR7133712	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN014	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.78949369	27	3.753953679	SRR7133712	0.370557816	17	1.514641305	1.588235294
SRR7133713	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN016	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.663707384	37	3.457552667	SRR7133713	0.563608432	6	1.456906662	6.166666667
SRR7133714	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN016	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.523025955	36	2.704004959	SRR7133714	0.55688579	18	2.322171979	2
SRR7133715	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN044	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.763100973	41	4.088353148	SRR7133715	0.227157946	13	0.840584287	3.153846154
SRR7133716	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN021	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.815483259	59	4.797196925	SRR7133716	0.268598129	14	1.022648409	4.214285714
SRR7133717	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN021	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.840326318	61	4.983754671	SRR7133717	0.432109721	16	1.728438883	3.8125
SRR7133719	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN019	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.826452429	32	4.132262146	SRR7133719	0.69484011	40	3.697889105	0.8
SRR7133720	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN020	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.63808473	64	3.828508383	SRR7133720	0.305171184	8	0.915513552	8
SRR7133721	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN020	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.808189447	82	5.13810644	SRR7133721	0.375089033	20	1.621107829	4.1
SRR7133722	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN017	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.724672944	65	4.364247012	SRR7133722	0.593936676	19	2.522999946	3.421052632
SRR7133723	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN017	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.884572554	49	4.966618225	SRR7133723	0.61592462	24	2.823991287	2.041666667
SRR7133724	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN018	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.878868681	76	5.491107814	SRR7133724	0.546547093	19	2.321692434	4
SRR7133725	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN018	2016	USA	Manual	F graminearum	Field	Total	Grinding			0.904044167	64	5.424264999	SRR7133725	0.569857545	32	2.849287726	2
SRR7133726	1130	Bakker_M_2020	Bakker et al 2020	PRJNA453204	USDA-ARS Peoria-IL	16S rRNA-V5-V6	Triticum aestivum	Poaceae	Wheat	Rollag	Seed		Illumina MiSeq	PAIRED	Wheat--Bakker_M_2020	UMN057	2017	USA	Manual	F graminearum	Field	Total	Grinding			0.710118478	74	4.409447571	SRR7133726	0.751160782	49	4.217549837	1.510204082
S01-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2004	Chile	Mechanical	None	Field	Total	Soaking	1000		0.637189689	609	5.894194773	S01-H0	0.635696721	153	4.613497656	3.980392157
S01-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2004	Chile	Mechanical	None	Lab	Total	Soaking	200		0.363866735	75	2.266459918	S01-H24	0.754661837	99	5.002922446	0.757575758
S02-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Field	Total	Soaking	1000		0.689948676	184	5.190871609	S02-H0	0.797924074	71	4.907031276	2.591549296
S02-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Lab	Total	Soaking	200		0.688508627	105	4.622815966	S02-H24	0.701057288	137	4.976127124	0.766423358
S03-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2012	Chile	Mechanical	None	Field	Total	Soaking	1000		0.811080017	561	7.406666703	S03-H0	0.559607516	140	3.989600363	4.007142857
S03-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Guardian	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2012	Chile	Mechanical	None	Lab	Total	Soaking	200		0.544121876	99	3.607177962	S03-H24	0.38393897	76	2.398822856	1.302631579
S04-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Field	Total	Soaking	1000		0.398738546	93	2.607414673	S04-H0	0.34519317	46	1.906695863	2.02173913
S04-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Lab	Total	Soaking	200		0.216601142	35	1.111008557	S04-H24	0.772793525	49	4.339011414	0.714285714
S05-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Field	Total	Soaking	1000		0.273502279	86	1.757598057	S05-H0	0.581228854	172	4.31635935	0.5
S05-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Lab	Total	Soaking	200		0.571288752	176	4.261489383	S05-H24	0.572069651	138	4.066571104	1.275362319
S06-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Field	Total	Soaking	1000		0.129200907	83	0.823660878	S06-H0	0.540903385	147	3.89432714	0.56462585
S06-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Count	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Lab	Total	Soaking	200		0.360883596	79	2.274931066	S06-H24	0.575756834	130	4.043176263	0.607692308
S07-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Field	Total	Soaking	1000		0.546420497	237	4.310571007	S07-H0	0.600665948	135	4.250802147	1.755555556
S07-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	France	Mechanical	None	Lab	Total	Soaking	200		0.510284159	52	2.908844089	S07-H24	0.731324361	63	4.371330423	0.825396825
S08-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	Italia	Mechanical	None	Field	Total	Soaking	1000		0.799481701	245	6.345196799	S08-H0	0.352329764	111	2.39387494	2.207207207
S08-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2010	Italia	Mechanical	None	Lab	Total	Soaking	200		0.686245534	105	4.607621004	S08-H24	0.343452939	97	2.266759466	1.082474227
S09-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Seed		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2011	Chile	Mechanical	None	Field	Total	Soaking	1000		0.79035515	378	6.767212392	S09-H0	0.476035356	134	3.36370828	2.820895522
S09-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var capitata	Brassicaceae	Cabbage	Negus	Germinating		Illumina MiSeq	PAIRED	Cabbage--Barret_M_2015		2011	Chile	Mechanical	None	Lab	Total	Soaking	200		0.662946419	134	4.684438525	S09-H24	0.475070436	99	3.149411343	1.353535354
S10-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var botrytis	Brassicaceae	Cauliflower	Clovis	Seed		Illumina MiSeq	PAIRED	Cauliflower--Barret_M_2015		2012	France	Mechanical	None	Field	Total	Soaking	1000		0.893130667	929	8.805852884	S10-H0	0.204187534	45	1.121367938	20.64444444
S10-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var botrytis	Brassicaceae	Cauliflower	Clovis	Germinating		Illumina MiSeq	PAIRED	Cauliflower--Barret_M_2015		2012	France	Mechanical	None	Lab	Total	Soaking	200		0.759277809	279	6.168465032	S10-H24	0.246136353	68	1.498345903	4.102941176
S11-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var italica	Brassicaceae	Broccoli	Verdia	Seed		Illumina MiSeq	PAIRED	Broccoli--Barret_M_2015		2011	Japan	Mechanical	None	Field	Total	Soaking	1000		0.786165862	342	6.617828275	S11-H0	0.621668401	162	4.562952812	2.111111111
S11-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica oleracea var italica	Brassicaceae	Broccoli	Verdia	Germinating		Illumina MiSeq	PAIRED	Broccoli--Barret_M_2015		2011	Japan	Mechanical	None	Lab	Total	Soaking	200		0.755150816	148	5.444224592	S11-H24	0.632804835	89	4.097875426	1.662921348
S12-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica rapa	Brassicaceae	Turnip	Armand	Seed		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015		2012	France	Mechanical	None	Field	Total	Soaking	1000		0.553494358	173	4.115024781	S12-H0	0.580359989	111	3.943207116	1.558558559
S12-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica rapa	Brassicaceae	Turnip	Armand	Germinating		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015		2012	France	Mechanical	None	Lab	Total	Soaking	200		0.276907945	46	1.529518192	S12-H24	0.668865852	91	4.352841605	0.505494505
S13-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica rapa	Brassicaceae	Turnip	Plessis	Seed		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015		2012	Chile	Mechanical	None	Field	Total	Soaking	1000		0.712962491	357	6.045765262	S13-H0	0.43430458	88	2.805360739	4.056818182
S13-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica rapa	Brassicaceae	Turnip	Plessis	Germinating		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015		2012	Chile	Mechanical	None	Lab	Total	Soaking	200		0.233122712	100	1.548833771	S13-H24	0.519755628	97	3.430341844	1.030927835
S14-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica rapa	Brassicaceae	Turnip	Declic	Seed		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015		2012	Chile	Mechanical	None	Field	Total	Soaking	1000		0.882817036	334	7.401276973	S14-H0	0.572638565	140	4.082502397	2.385714286
S14-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica rapa	Brassicaceae	Turnip	Declic	Germinating		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015		2012	Chile	Mechanical	None	Lab	Total	Soaking	200		0.656416383	152	4.757658365	S14-H24	0.665109279	91	4.328394601	1.67032967
S15-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica rapa	Brassicaceae	Turnip	Clovis	Seed		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015		2012	France	Mechanical	None	Field	Total	Soaking	1000		0.564559622	162	4.143782943	S15-H0	0.642503981	111	4.365439246	1.459459459
S15-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica rapa	Brassicaceae	Turnip	Clovis	Germinating		Illumina MiSeq	PAIRED	Turnip--Barret_M_2015		2012	France	Mechanical	None	Lab	Total	Soaking	200		0.279539214	61	1.657873656	S15-H24	0.57782184	131	4.064065422	0.465648855
S16-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica napus	Brassicaceae	Rapeseed	Darmor_Bzh	Seed		Illumina MiSeq	PAIRED	Rapeseed--Barret_M_2015		2011	France	Mechanical	None	Field	Total	Soaking	1000		0.499921826	130	3.510634941	S16-H0	0.616267154	95	4.048786221	1.368421053
S16-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica napus	Brassicaceae	Rapeseed	Darmor_Bzh	Germinating		Illumina MiSeq	PAIRED	Rapeseed--Barret_M_2015		2011	France	Mechanical	None	Lab	Total	Soaking	200		0.513205156	84	3.280570258	S16-H24	0.612229199	105	4.110657152	0.8
S17-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica napus	Brassicaceae	Rapeseed	Yudal	Seed		Illumina MiSeq	PAIRED	Rapeseed--Barret_M_2015		2011	France	Mechanical	None	Field	Total	Soaking	1000		0.584492347	236	4.607344539	S17-H0	0.469614393	104	3.14662293	2.269230769
S17-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Brassica napus	Brassicaceae	Rapeseed	Yudal	Germinating		Illumina MiSeq	PAIRED	Rapeseed--Barret_M_2015		2011	France	Mechanical	None	Lab	Total	Soaking	200		0.717460055	96	4.724447556	S17-H24	0.642864809	85	4.120371877	1.129411765
S18-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Raphanus sativus	Brassicaceae	Radish	Flamboyant5	Seed		Illumina MiSeq	PAIRED	Radish--Barret_M_2015		2012	France	Mechanical	None	Field	Total	Soaking	1000		0.351554559	69	2.147479622	S18-H0	0.572863596	80	3.621602464	0.8625
S18-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Raphanus sativus	Brassicaceae	Radish	Flamboyant5	Germinating		Illumina MiSeq	PAIRED	Radish--Barret_M_2015		2012	France	Mechanical	None	Lab	Total	Soaking	200		0.253119325	39	1.33783744	S18-H24	0.529370027	51	3.002811956	0.764705882
S19-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Eruca vesicaria	Brassicaceae	Garden rocket	Unknown	Seed		Illumina MiSeq	PAIRED	Garden rocket--Barret_M_2015		2012	France	Mechanical	None	Field	Total	Soaking	1000		0.570043124	157	4.158248399	S19-H0	0.573675219	141	4.095783688	1.113475177
S19-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Eruca vesicaria	Brassicaceae	Garden rocket	Unknown	Germinating		Illumina MiSeq	PAIRED	Garden rocket--Barret_M_2015		2012	France	Mechanical	None	Lab	Total	Soaking	200		0.095423346	24	0.437512462	S19-H24	0.620532308	132	4.371274141	0.181818182
S20-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Arabidopsis thaliana	Brassicaceae	Arabidopsis thaliana	Sf2	Seed		Illumina MiSeq	PAIRED	Arabidopsis thaliana--Barret_M_2015		2012	France	Mechanical	None	Greenhouse	Total	Soaking	1000		0.509361597	145	3.657169957	S20-H0	0.546367605	68	3.325992491	2.132352941
S21-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Medicago truncatula	Fabaceae	Medicago truncatula	A17	Germinating		Illumina MiSeq	PAIRED	Medicago truncatula--Barret_M_2015		2012	France	Mechanical	None	Lab	Total	Soaking	1000		0.085718601	32	0.428593005	S21-H24	0.576154988	158	4.208109706	0.202531646
S22-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Phaseolus vulgaris 	Fabaceae	Bean	Flavert	Seed		Illumina MiSeq	PAIRED	Bean--Barret_M_2015		2012	France	Mechanical	None	Field	Total	Soaking	200		0.827153342	454	7.300909082	S22-H0	0.443471593	90	2.878952433	5.044444444
S22-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Phaseolus vulgaris 	Fabaceae	Bean	Flavert	Germinating		Illumina MiSeq	PAIRED	Bean--Barret_M_2015		2012	France	Mechanical	None	Lab	Total	Soaking	1000		0.7338878	428	6.415255978	S22-H24	0.45864247	60	2.709150892	7.133333333
S23-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Phaseolus vulgaris 	Fabaceae	Bean	Flavert	Seed		Illumina MiSeq	PAIRED	Bean--Barret_M_2015		2012	France	Mechanical	None	Field	Total	Soaking	200		0.868453134	645	8.105408016	S23-H0	0.485630832	114	3.318262063	5.657894737
S23-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Phaseolus vulgaris 	Fabaceae	Bean	Flavert	Germinating		Illumina MiSeq	PAIRED	Bean--Barret_M_2015		2012	France	Mechanical	None	Lab	Total	Soaking	1000		0.794919105	226	6.216409661	S23-H24	0.50958077	107	3.435321938	2.112149533
S24-H0	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Phaseolus vulgaris 	Fabaceae	Bean	Flavert	Seed		Illumina MiSeq	PAIRED	Bean--Barret_M_2015		2013	Chile	Mechanical	None	Field	Total	Soaking	200		0.874545811	634	8.140568903	S24-H0	0.548177228	167	4.047578549	3.796407186
S24-H24	4419	Barret_M_2015	Barret et al 2015 AEM	PRJEB6729	IRHS	16S rRNA-V4	Phaseolus vulgaris 	Fabaceae	Bean	Flavert	Germinating		Illumina MiSeq	PAIRED	Bean--Barret_M_2015		2013	Chile	Mechanical	None	Lab	Total	Soaking	1000		0.325038117	138	2.310541405	S24-H24	0.497100141	127	3.474076146	1.086614173
