SV	Plant	count_sum_SV	sample_number_SV	Nb_studies	sample_number_Plant	count_sum_Plant	SV_Rel_Abund	SV_Prev	Type
afa350bfe4180f127a478e995441220b	Bean	9	2	1	50	50000	0.018	4	Flexible
b015378006adfa2abdab59516ed34f3f	Bean	13	2	1	50	50000	0.026	4	Flexible
b0af4082861e36186f96259097230475	Bean	11	2	1	50	50000	0.022	4	Flexible
b34d40828e6aa64c66c56a1610e3a911	Bean	9	2	1	50	50000	0.018	4	Flexible
b50250e00389b59268d4aaaffb80aae5	Bean	4	2	1	50	50000	0.008	4	Flexible
b6722246deff37ae7de940925de088db	Bean	290	2	1	50	50000	0.58	4	Flexible
b94d5032b0056712352a416c9111aef9	Bean	6	2	1	50	50000	0.012	4	Flexible
b9b4789f5f488c6982d28c5fd7feaf8c	Bean	8	2	1	50	50000	0.016	4	Flexible
b9e18f72ddf7038aa589893c5c9843af	Bean	7	2	2	50	50000	0.014	4	Flexible
ba932523a88322a69af7a15b8207c8be	Bean	2	2	1	50	50000	0.004	4	Flexible
be04032bf21f7d9b98c9a0468cccfced	Bean	11	2	2	50	50000	0.022	4	Flexible
bedcf8972c55faf192d32edb14c01873	Bean	8	2	1	50	50000	0.016	4	Flexible
bfffc90bcfbb8421cb1e10eaf75c8ff3	Bean	2	2	1	50	50000	0.004	4	Flexible
c0910f5a25b0a98b81952d23bd71a852	Bean	4	2	1	50	50000	0.008	4	Flexible
c333c3d94d3b0f821254c118a8420925	Bean	20	2	1	50	50000	0.04	4	Flexible
c5dfe55ecffae8806fc0005a4355e7aa	Bean	4	2	1	50	50000	0.008	4	Flexible
c68c7b9d327eed6672f9c10dbfea7570	Bean	11	2	1	50	50000	0.022	4	Flexible
c7c88e852b0e4fbaf378217a3f9ffa62	Bean	7	2	1	50	50000	0.014	4	Flexible
c807934558ede0d3e15ac22a5b10b18b	Bean	11	2	1	50	50000	0.022	4	Flexible
c93f46e72134755aa37bcb7ef6333ff4	Bean	6	2	1	50	50000	0.012	4	Flexible
c9b7173c50b3d01ee2636fd5454dabc4	Bean	17	2	1	50	50000	0.034	4	Flexible
ce56fc56a33a7eda88d4661401490488	Bean	6	2	1	50	50000	0.012	4	Flexible
ce6d047d070aea8246c0aa8302f5bb07	Bean	18	2	1	50	50000	0.036	4	Flexible
cf1f766d29707b7bbe5a8d3ca12d37af	Bean	65	2	1	50	50000	0.13	4	Flexible
d332373e188fcda3893c86701dabcc9c	Bean	34	2	1	50	50000	0.068	4	Flexible
d69af739ce56179e40c02724772b500b	Bean	2	2	1	50	50000	0.004	4	Flexible
da0c528d0769990a04515fe7c991db49	Bean	2	2	2	50	50000	0.004	4	Flexible
da5c829735266726ad812268f95db572	Bean	115	2	1	50	50000	0.23	4	Flexible
da698100877ab4561cf9aa3339f4ecec	Bean	413	2	2	50	50000	0.826	4	Flexible
daa0d63110eb92bd9eb0a8d985853075	Bean	4	2	1	50	50000	0.008	4	Flexible
dd0dc1637035c95c6ae96d353d2b90e5	Bean	9	2	1	50	50000	0.018	4	Flexible
e2a4110d53df5f5fee5d6ae733fca6a4	Bean	5	2	1	50	50000	0.01	4	Flexible
e3015702973e15893d529ab79a472458	Bean	10	2	1	50	50000	0.02	4	Flexible
e6d760caa6c25ceda85e1668d08a0c0c	Bean	2	2	1	50	50000	0.004	4	Flexible
e6db94281a6ff8e7d3eb556fca940328	Bean	15	2	1	50	50000	0.03	4	Flexible
e7fa9eb7a9e8666871eb55c9b238d2b7	Bean	5	2	2	50	50000	0.01	4	Flexible
e8f626d71e25179a0355cccdf70199a8	Bean	3	2	1	50	50000	0.006	4	Flexible
eb45daf40ba05537a097798f41dc4b8b	Bean	3	2	1	50	50000	0.006	4	Flexible
f019c5302e0ef6fffdb9a907dbd93b19	Bean	6	2	1	50	50000	0.012	4	Flexible
f1009ffb1230090d4336770f8d9f6497	Bean	8	2	1	50	50000	0.016	4	Flexible
f1246c4998643788121fa1b6f40cae68	Bean	10	2	2	50	50000	0.02	4	Flexible
f49f76a3df9102d2aa6554d3a0415016	Bean	2	2	1	50	50000	0.004	4	Flexible
fd741d433f708d7f06a801c4f7c10938	Bean	4	2	1	50	50000	0.008	4	Flexible
fe63e896f1b93ca0f18ec1bc2346c341	Bean	2	2	1	50	50000	0.004	4	Flexible
