SV	Plant	count_sum_SV	sample_number_SV	Nb_studies	sample_number_Plant	count_sum_Plant	SV_Rel_Abund	SV_Prev	Type
e211fc49c42e0422b12d45ca6646e16c	Bean	222	54	1	186	195300	0.113671275	29.03225806	Flexible
f42fce2c183220e1926f415acc2b08a4	Bean	290	54	4	186	195300	0.148489503	29.03225806	Flexible
4bfe433f48f73e43b61f3fac649b3279	Bean	167	52	2	186	195300	0.085509473	27.95698925	Flexible
8dfb0b98d7ef4ca768930f94ea4ddf11	Bean	126	52	2	186	195300	0.064516129	27.95698925	Flexible
439c05a5eff3abdfa20317ee5cba351a	Bean	1953	51	3	186	195300	1	27.41935484	Flexible
3ebd9324cf5a646de856f615123123c5	Bean	360	50	4	186	195300	0.184331797	26.88172043	Flexible
fdb198a8e6f12cdd67b376d7b3cab531	Bean	108	49	1	186	195300	0.055299539	26.34408602	Flexible
292db1aa132490bdfbdfe41c9e7e55fc	Bean	241	48	3	186	195300	0.123399898	25.80645161	Flexible
4b972a0a28bc7bc835597f5627f8cbb0	Bean	667	48	4	186	195300	0.341525858	25.80645161	Flexible
b949fc7315651b48d12ce050fa5ae90a	Bean	3247	47	3	186	195300	1.662570405	25.2688172	Flexible
e5ca2e884e0fb15d289ae75bf56d4408	Bean	1339	46	4	186	195300	0.685611879	24.7311828	Flexible
f7d66ccf09c20b37dd6fe63fb0c1865e	Bean	177	46	1	186	195300	0.0906298	24.7311828	Flexible
11ec181004ecf82975d30e2bc4d1fe2b	Bean	230	44	1	186	195300	0.117767537	23.65591398	Flexible
c248accab6e256b083a050a24ff9f044	Bean	144	44	1	186	195300	0.073732719	23.65591398	Flexible
d1d4888ce3bf4f2a0ad750b41262de76	Bean	156	43	4	186	195300	0.079877112	23.11827957	Flexible
a96101ecb82c27849234d56d09951852	Bean	201	40	4	186	195300	0.102918587	21.50537634	Flexible
610dfec34f51879292663fbb6f50e9d7	Bean	8747	39	1	186	195300	4.47875064	20.96774194	Flexible
af5e0d8eb07a60fbad38be76f9275d54	Bean	111	39	1	186	195300	0.056835637	20.96774194	Flexible
a23b8e44aeecf4b1e0728b90ff495b98	Bean	118	38	3	186	195300	0.060419867	20.43010753	Flexible
762c56a996244b82b633bded32dba4cd	Bean	171	37	3	186	195300	0.087557604	19.89247312	Flexible
9c0e43527749bbad1377788827ebe4c3	Bean	5304	36	1	186	195300	2.715821813	19.35483871	Flexible
bda8a6f81a497f91574b43b77ba5e20a	Bean	350	36	4	186	195300	0.17921147	19.35483871	Flexible
36fd32226e14333d400809aaaa6575c3	Bean	136	35	3	186	195300	0.069636457	18.8172043	Flexible
0efa2d04d9ceeca6105061e4bf3efda9	Bean	169	34	3	186	195300	0.086533538	18.27956989	Flexible
1453cba0111ef5e1617519e3fc49ceb2	Bean	408	32	1	186	195300	0.20890937	17.20430108	Flexible
881c92e63a3b9fc2d673160fe999aa10	Bean	124	32	1	186	195300	0.063492063	17.20430108	Flexible
31d1d4fe7a47def0d855bffab077f830	Bean	256	29	1	186	195300	0.131080389	15.59139785	Flexible
9a66d68a084eea776136a1c7913722b2	Bean	118	29	1	186	195300	0.060419867	15.59139785	Flexible
07226812dae41889a9855c0ae4b37719	Bean	105	28	4	186	195300	0.053763441	15.05376344	Flexible
0dc788367c04f7e669c9e2adfade92d8	Bean	74	28	3	186	195300	0.037890425	15.05376344	Flexible
461613cbf8808c9b082843b8d6e46fb8	Bean	93	28	4	186	195300	0.047619048	15.05376344	Flexible
95c3b8960cd248aad6592f917a2fd33b	Bean	91	28	3	186	195300	0.046594982	15.05376344	Flexible
8940797ab300032c5a89e232a13913be	Bean	106	27	2	186	195300	0.054275474	14.51612903	Flexible
9d6f94c845852c92e94b4f2f123a4a10	Bean	78	27	1	186	195300	0.039938556	14.51612903	Flexible
c7fba7583b0d9a7c2bf1e8e623e9df26	Bean	50	27	1	186	195300	0.025601639	14.51612903	Flexible
3efbb18c351289b9a7380690fb045510	Bean	67	26	3	186	195300	0.034306196	13.97849462	Flexible
75310619fdf3171e96ae9648aa3d0949	Bean	224	26	1	186	195300	0.114695341	13.97849462	Flexible
b6d82aba922565d5f5d65e1f7ee61745	Bean	356	26	3	186	195300	0.182283666	13.97849462	Flexible
01a2e14e8b6d37b30f9003f6dcdd4e71	Bean	227	25	2	186	195300	0.116231439	13.44086022	Flexible
24d1da86c02672526c8d9ba8a7db0bf5	Bean	398	24	3	186	195300	0.203789042	12.90322581	Flexible
45f285745cb0ea2d7285e5e6c7e740ab	Bean	73	24	1	186	195300	0.037378392	12.90322581	Flexible
4ee0756308388acd02cd3e1fdfc9e129	Bean	174	24	1	186	195300	0.089093702	12.90322581	Flexible
