SampleID	Unclassified Capnodiales	Alternaria metachromatica-2	Cladosporium perangustum-2	Vishniacozyma victoriae-2	Epicoccum nigrum	Alternaria metachromatica-1	Alternaria sp	Aureobasidium pullulans	Vishniacozyma victoriae-1	Gibberella acuminata	Alternaria metachromatica-3	Filobasidium sp	Unclassified Sclerotiniaceae	Vishniacozyma tephrensis	Sporobolomyces roseus	Cladosporium perangustum-1
ITS-Aviso-B1-4	78	10		39		68	8		46	1	14	26	320	1	81	61
ITS-Aviso-B1-5	110	7		31		57	5		54	1	10	20	328	3	72	49
ITS-Aviso-B2-1	81	6		54		92	2		43		20	38	313	3	95	47
ITS-Aviso-B2-2	81	11		38		76	4		44	1	8	25	240	10	115	48
ITS-Aviso-B2-3	93	13	1	33		102	6		44		20	14	285	7	112	88
ITS-Aviso-B2-4	77	12		71		109	7	1	40		18	15	245	2	158	36
ITS-Aviso-B2-5	60	7		40		112	5		48		14	28	230	6	174	37
ITS-Boston-AF-1	163	32		55	1	304	12		60	1	30	5	109	3	18	35
ITS-Boston-AF-2	200	18		86		323	11		46	1	16	9	110	1	22	37
ITS-Boston-AF-3	296	19		105	1	179	5		49		38	7	84	2	22	47
ITS-Boston-AF-4	184	14		73		251	7		45		27	6	74	1	39	45
ITS-Boston-AF-5	253	16		51	2	221	6		49		37	12	118	7	26	42
ITS-Boston-B1-1	106	6		31		84	8		71		21	28	239	6	117	51
ITS-Boston-B1-3	102	5	2	42		74	1		48	2	11	32	262	8	96	95
ITS-Boston-B1-4	118	18	3	38		118	10		55		18	23	208	3	102	70
ITS-Boston-B1-5	109	10	3	34		140	7		58	1	28	33	190	5	69	85
ITS-Boston-B2-1	88	13	2	41		92	3		56	8	17	43	209	3	145	55
ITS-Boston-B2-2	67	14		28		145	3	1	45	26	24	28	237	5	140	51
ITS-Boston-B2-3	88	11		59		100	4		62	2	16	31	181	4	124	54
ITS-Boston-B2-4	74	6	2	41		108	5		65	3	12	34	163	8	102	49
ITS-Boston-B2-5	114	22		35		147	4		35	3	21	44	193	5	144	59
ITS-Colvert-AF-1	208	24		119		173	7		67		30	7	97	5	33	94
ITS-Colvert-AF-2	229	16	1	71		159	16		59		31	9	132	2	30	112
ITS-Colvert-AF-3	216	12		81		161	4		64		30	9	95	3	50	80
ITS-Colvert-AF-4	244	14	4	100		144	2		73		33	7	84	3	44	111
ITS-Colvert-AF-5	198	25		78		155	13		59		25	6	126	1	56	81
ITS-Colvert-B1-1	95	13		40	2	81	1		46	1	16	36	151	6	95	69
ITS-Colvert-B1-2	115	8		45		98	4		53	1	10	29	125	3	137	79
ITS-Colvert-B1-3	86	7		26		59	2		56		12	14	89	4	57	76
ITS-Colvert-B1-4	114	8		48		85	6	1	60	1	13	48	128	6	107	76
ITS-Colvert-B1-5	112	12		30		94	3	1	43	1	9	31	153	3	108	106
ITS-Colvert-B2-1	100	11		52		91	4		40		17	54	131	5	150	100
ITS-Colvert-B2-2	100	9		43		85	4		56	2	19	56	83	3	108	98
