SampleID	Unclassified Capnodiales	Alternaria metachromatica-2	Cladosporium perangustum-2	Vishniacozyma victoriae-2	Epicoccum nigrum	Alternaria metachromatica-1	Alternaria sp	Aureobasidium pullulans	Vishniacozyma victoriae-1	Gibberella acuminata	Alternaria metachromatica-3	Filobasidium sp	Unclassified Sclerotiniaceae	Vishniacozyma tephrensis	Sporobolomyces roseus	Cladosporium perangustum-1
RDC-JM-JM2012-1-ITS-16	2			6	1	1	3		1				1	2	2	6
RDC-JM-JM2012-2-ITS-23	12		2	13	5		8		10			2	5	8	1	10
RDC-JM-JM2012-3-ITS-33	6			10	3		13		8			3	4	3	3	14
RDC-PC-PC2012-1-ITS-na	8			16	11	2	189		3	1		4	46		1	65
SES-FA-FA2012-1-ITS-18	5			3	8	1	247		1	38			82	1		22
SES-FA-FA2012-1-ITS-na	51		4	20	5	6	11	1	20	1		19	16	4	37	100
SES-FA-FA2012-2-ITS-29	17		1	10	8	1	100		3	13		3	187	1	1	105
SES-FA-FA2012-3-ITS-34	7			3	11	1	380		2	57		2	81			48
SES-FA-MB2012-1-ITS-na	63		1	37	6	1	10		30	3		23	19	13	37	81
SES-JM-JM2012-1-ITS-11	6			5	4	3	15		5	1			10	1	2	14
SES-JM-JM2012-2-ITS-26	7			1	4	4	9			2			14	1		27
SES-JM-JM2012-3-ITS-35	11		1	14	9	5	26		11	1		3	7	4	3	25
SES-MB-BM2012-1-ITS-na	1			1	4		9		2	8			581			5
SES-MB-FA2012-1-ITS-na					6		14		1	34			489			16
SES-MB-MB2012-1-ITS-na	80		2	27	5	4	5	1	36	2		24	15	9	40	70
ITSAF1						47	44				21					62
ITSHS3					122										126	241
ITSHS4	22		39													47
A01	1	6		3	3	65	10		5		8	1				49
A02	2	1			2	28	20				7	3		2		115
A03	1			4		7	4					2	1			44
A04		6		3		34	29		2		5	2			2	22
A05	2			2		24	4			1						31
A06	15	5		2		92	49		6	3	27	1		2		158
A07	3					28	9			10	2	1				52
A08	3	7				77	29		3	1	16		2			56
A09	1			1		12	8			3						13
A10	3	5		2		29	7				9		3			14
A11	12	17		1	3	195	44			7	41		4		1	49
A12	14						11		1			4			1	14
A12-S17	5	4			2	54	15			2	14					56
A13	6						7		1	1						19
A13-S29	3	23			1	139	81				28					33
A14							5									16
A14-S41	1	1		2	2	12	6				6	4	1			32
A15	2			1												13
A15-S53	4	6				47	30		2	14	10	1				87
A16	3						7		1					1		21
A16-S65	3	4		3		54	17			12	10	2	1	2		95
A17	3								2	2		3				41
A17-S77	11	20		3	1	139	46		4	3	40	1	3	1	1	186
A18	46					9	25		1			10		2	1	133
A18-S89	1				1	12	8			2	4		1			27
A19				2			3		1			1				15
A22	5			5			13		2			4			2	72
A23	4			1					1				5	1		47
A24	4			2			5					1		1		56
A25	16			2			4		1			2	1	1	1	105
A26	2						2					1				11
A27	6						1									32
A28	1															7
A29	7						2					3				70
AB01						3	14									1
AB02						4	5						111			3
AB10						5	17									2
AB11						1										1
AI11	19			4		69	77		2	19		11		1		114
AI12	23			4		79	99		4	38		8		1	1	95
AI13	19			5		63	81		1	1		7	3	1	1	98
AI21	16			6		76	97		3	2		12		2		138
AI22	19			9	1	52	85		3	2		10	7	3	1	186
AI23	16			5		76	121		2	5		11		1	2	150
AN01	22	13		4		117	36		5	9	22	1				99
AN02	22	17		8		122	42		7	5	33	4			1	107
AN03	16	11		5	2	128	52		1	3	23	3				129
AN10	15	25		5	3	131	53		2	12	41	5	2	2	2	94
AN11	14	14		3		136	46		3	3	19	1	2	2		80
AN12	13	10		7	3	77	23		2	3	24	2	1			75
AS01	19	6		2	1	141	27		4	4	26	2	1	1		90
AS02	24	21		5		127	43		1	4	35	1			2	105
AS03	19	19		2	1	125	35		4	7	26	5	1	2		122
AS10	14	17		3	1	123	70			7	29	4		4		94
AS11	9	8		6		103	24		4	5	17	6			2	77
AS12	8	16		8	4	127	46		1	3	38	2		3	2	104
C01	8	31		1	1	427	138			23	82	2				93
C02	7	31			3	341	246			8	79	2	9			120
C03	4	36		2		427	164			2	107			1		97
C04	12	21		1	2	370	84			6	77		6			271
C05	1	21				545	116			5	97		1			51
C06	11	24			2	328	202			41	64					140
C07	8	32		1		360	148			17	81	2				98
C08	13	29		3	2	363	133		5	56	83	1				118
C09	15	21		1	1	343	143		2	15	73	1		1		157
C113	28			17		55	102		3	5		8			1	168
C12	33			8		68	33		5	5		7		1		368
C13	14			2		51	49			1		4				406
C14	16			1		70	87		3	3		14			3	252
C15	3			17		49	39		12	1		15		6		66
C16	6			1		86	118					1		1		40
C17	11			9	2	51	98		7	4		8	10	1	1	47
C18	18			7		47	205		7			20	4	3	1	195
C19	16			8		8	24		3	3		25		3	2	705
C213	34			12	1	48	134		1	10		16	1	1	5	167
C22	26			1	2	41	80		3	1		9		1	1	277
C23	28			7	1	67	80		3	1		8	3	1	2	155
C24	27			13	4	44	42		8	1		8	2	2	7	239
C25	6			1	1	56	113					9	1		18	30
C26	12			1		30	121		3	3		6		1	1	448
C27	31			1		29	297		1			10	3	1	2	264
C28	12			5	1	60	49		3			3			1	181
C29	27			7	1	44	56		2	50		12		1	1	302
C313	23			9		46	147			16		9	2	2	1	174
C32	18			3		60	64					7			2	134
C33	15					73	94		1			2			1	54
C34	10			9		74	71		5	3		4			1	53
C35	12					16	56		1	1		1				473
C36	65			1	1	9	67		2			4			1	196
C37	31			3		65	116		4						1	106
C38	36					34	142					1				252
C39	17			5		54	55		2	2		7			1	96
C42	25					48	107			3		3			2	185
C43	20					33	151			30		1				205
C44	12			1		42	97			15			6			397
C45	9			4		14	88					2		4		98
C46	18			1		37	102					5				335
C47	12			2	1	34	112		1	1		6			1	267
C48	12				1	24	145					2	5			456
C49	50		4	6	2	34	71		6			7		3		441
CB01		25				218	134			19	60					237
CB02		9				156	190			12	36		333			48
CI11	23			4		59	167		3	2		7		1	1	122
CI12	30			5		56	112		1	2		10		1	1	208
CI13	17			7	2	79	102					8		2	1	148
CI21	35			15		49	92		3	1		11	7	5	1	166
CI22	33			12		42	72		7	8		17	14	1	4	263
CI23	29			14		44	102		3	12		15	2	2	1	153
CI31	15			5	2	46	82		1	6		1		1		142
CI32	20			5		34	99		2	9		2		1		107
CI33	12			1		44	122			4		4				86
CI41	27			4	1	43	85		1	1		4		1	1	158
CI42	22			3		52	112		3	3		8		1		175
CN01	26	25		21	2	335	103		1	6	79	3	1	1	1	148
CN02	18	27		15	2	352	115		4	29	74	6		2		115
CN03	30	33		33		317	127		5	6	69	6	7	1	1	128
CS01	36	28		20	2	310	116		4	11	66	3	1	3	1	207
CS02	34	25		21	1	343	115		1	5	73	7	2		4	131
CS03	40	30		16	3	320	96		4	13	78	3	2	4	1	167
IB01		43				218	200				59					6
IB02	5	50				459	166				59		31			8
IN01	83	33		82		374	110		1	1	74	19	3		2	56
IN02	94	28		122	2	300	131		7	4	77	22	11	1	1	63
IN03	106	31		108		307	124		4	1	72	14	6	2	1	70
IS01	70	38		100		352	111		5	3	81	12	11	1	1	73
IS02	88	24		99		317	122			5	81	20	5		3	65
IS03	110	38		88		377	98		1	1	70	17	4		2	66
X01	14	20		7	2	226	60		1	30	49	4	5	1		344
X02	8	27		5	2	343	164			16	69	3				174
X03	11	38		1	6	327	201		2	94	79	4		4	2	106
X04	2	28				419	131			23	69				1	54
X05	7	30		2	2	474	47			2	70	1	1			188
X06	14	46		2	3	399	122		2	3	91	3	1			147
X07	4	30				400	80		1	24	91	1	1			220
X08	3	32		4	2	340	147		1	6	83	1	4			135
X09	9	28		3	2	230	81			5	58	5	1	2	1	174
X10	6	26		2	1	336	191				102		3			123
X11	7	17		12	9	344	92		7	19	70	2		6	1	153
X12	9			10		50	67		6	7		23		2		70
X12-S86	17	18		9	13	293	139		3	6	64	2	3			175
X13	28			5		30	37		1			2	2		1	507
X13-S3	9	25		10	1	156	132		4	3	37	9	47	3	4	135
X14	10			2	1	31	53		2	34		3		9	1	526
X14-S15	8	28		2		369	129		1	12	86	3	1			88
X15	13					47	35					3		1		72
X15-S27	10	20		5	1	305	119		1	11	77	3	9	3		142
X16	6			1		52	96		2			6		2		118
X16-S39	18	36		2	4	411	106			4	93	2	1		2	97
X17	24			5		63	60		1	42		7	10		1	131
X17-S51	17	16		1	1	168	34		1	1	43	5	5	2	1	472
X18	22			1		68	86		2			5				256
X18-S63	16	37		3	4	348	98			18	81	6	1		2	157
X19	21			1	1	48	278			8		7			1	35
X22	6			4		71	86		1	102		6		2	1	37
X23	8			3		40	45		1	75		9	2	1		447
X24	20			4	1	55	62			1		8		2		248
X25	10			7		45	121		1			9			1	114
X26	10			2	1	60	150		1	5		3		1		150
X27	13					71	108			3		4		1	1	185
X28	17			5		79	47					7		2	1	343
X29	62			8	2	27	83		5	1		5		2	4	472
XB01	1	10			1	156	49			2	25		9			25
XB02		16				132	238			14	30		32			60
XB10	4	29				237	188			8	40		9			18
XB11		7				43	314				21		555			17
XI11	1			2			2		2							11
XI12	7			4		6	9		1	7		1				44
XI13	8			1			9					6	2	1		45
XI21	3			10	1		18		5					2	2	41
XI22	11			3		6	18		2			1				41
XI23	9			6		10	22		3	1		1		1		62
XN01	28	26		5		345	111		4	17	72	9			1	148
XN02	17	31		13	6	297	109		3	18	69	9	7	2	2	162
XN03	29	27		14	2	270	137		1	41	39	11	19	3	1	143
XN10	21	36		16	2	302	131		3	23	61	10		2	2	116
XN11	14	34		9	1	291	134			4	85	2	7	1	2	142
XN12	18	28		6		340	128		2	12	72	5	4		3	127
XS01	23	24		10	2	319	144		2	4	80	4		1	2	172
XS02	17	30		11	2	362	116			6	99	2		1	2	136
XS03	29	33		13		354	105		2	13	64	5		2	1	157
XS10	10	26		4	4	360	100			9	71	4	1	1		199
XS11	18	40		5		306	139		3	9	68	5	14	2	2	124
XS12	22	39		6	1	371	123		5	6	80	4			3	117
ERR2862023	41		3	112	3	12	46	27	19	1		7		1	6	55
ERR2862024	44			24	13	11	30	38	36	31		11		2	2	30
ERR2862025	46		31	8	71	5	22	35	95		7	3	23		6	34
ERR2862026	44		27	10	42	10	26	16	115		5	6	32	1	5	48
ERR2862027	52	1	3	1	59	2	18	29	1	4		1				161
ERR2862028	14				5	1	11	3	7	9		35		2		42
ERR2862029	47			2	29	2	21	12	42	7		35			1	229
ERR2862030	34				82	11	40	5	12	3		14				95
ERR2862031	491		9	2	3	3	2	104	34			1			1	119
ERR2862032	41			8	5		45	4	32					4	1	326
ERR2862033	63		5	110	15	4	98	54	133	1		1	132		5	33
ERR2862034	215			42	33		18	75	52			2	192	2		80
ERR2862035	278				8	1	1		135				16	141		104
ERR2862036	64			15	32				12	2		164	1	11		573
ERR2862037	102		20		12	1	5	2	30	2		1	1			338
ERR2862038	487				82	1			18	3		1	17			363
ERR2862039	220		85	1	17	3	93		49			1	12	1		32
ERR2862040	210				10	11	7		16		8	2				19
ERR2862041	200			2	5	7	40	70	150	15	6	11			2	17
ERR2862042	68		8	2	11	3	1		130			56				7
ERR2862043	96				56	6	32	180	197			19	138			25
ERR2862044	132				56	4	21	165	218			20	141	1		22
ERR2862045	116		8	6	35	4	1	110	203	5		21	72	2	2	22
ERR2862046	144			6	120	2	2	161	127			45	125		2	31
ERR2862047							434									1
ERR2862048	10				33		496									504
ERR2862049	53				1		346									422
ERR2862050	40					78	273									132
ERR2862051	58			1	154	7	159	12	45		1	32	19		3	87
ERR2862052	21				34	15	199	45	44		3	21	3	2	3	7
ERR2862053	18				16	15	38	1	12	28		7	20			5
ERR2862054	29	5		4	40	3	1	47	64	5	4	2	2	2	1	48
SRR10450124	14	8		34	5	66	32	4	18	5	10	4			3	34
SRR10450126				1	12	8				13		2				5
SRR10450128	2			5		4	11			20						13
SRR10450130	1				49	3	1			23		3		1	1	18
SRR10450133	42	6		10		45	2		3	100	6	11				343
SRR10450135	3	18		1		70				11	12	1	2			9
SRR10450136	21	16			1	80	2		4	6	21		14			18
SRR10450139				1	6	72	1		1	27	14		1			8
SRR10450141	8	8				51			1	7	10					6
SRR10450143	22	4		17	4	42	33			2	11					49
SRR10450144	12	1		8		25			4	36	6	8	2			244
SRR10450146	9	4		1	4	34				10		1	1			4
SRR10450149	14			7	43	11	9		11	46				2		207
SRR10450151	10			10	27	5	9		6	155				1		247
SRR10450153	9			21	51	8	17		5	198		3	3	5		122
SRR10450155	11	4		12		33				41	7	8				341
SRR10450157	8			6	22	4	7			238				1		125
SRR10450159	7			10	39	10	17			231		1		2		191
SRR10450161	9			4	18	11	8			25						135
SRR10450163	3				14	3	4			30				1		195
SRR10450165	10			2	6	5	10			35						180
SRR10450167	16	2		7	18	24	17		1	15				1		206
SRR10450170	7			51	1	3	52		13	14		3		1		366
SRR10450173	8			41	5	7	85		4	6		1	3			372
SRR10450175	5			29	10	4	86		6	4		3				443
SRR10450177	49	6		21		83	1		6	58	15	16	1			267
SRR10450179	4			30	3	4	49		1	6		1				152
SRR10450180	3			23	1	3	42		4	9		1	1			122
SRR10450182				20	3	3	42			7				1		143
SRR10450184	6			42	4	4	76		1	6				1		271
SRR10450186	4			56	5	11	146		6	3		1		2		297
SRR10450188	47	7		19		74			4	42	24	12				323
SRR10450190	22			17	13	6	49	3	2	13		3		4		447
SRR10450193	20			31	15	28	60		15	4		3		3		484
SRR10450194	31			22	13	29	86		11	1		6		1		504
SRR10450196	43			6	18	14	63		7	12		1	1			576
SRR10450198	52	2		6	20	11	71	1	3	12		3				573
SRR10450200	52			18	25	15	120		10	7		4		1		449
SRR10450202	47			10	33	18	153		6	11		3		2		445
SRR10450203	33	3		18	28	32	59	1	6	14		7		1		499
SRR10450205	32	1		21	22	16	85	3	7	12	9	7	1	3		473
SRR10450206	43	1		7		35	1		2	39	10					196
SRR10450207	42	3		2		28	2			41	7	3	1			231
SRR10450208	38	5		7	1	42	2			30	7		1			208
SRR10450209	42	14		16		113			2	67	35	3				247
SRR10450210	35	5		21		62	5		2	59	16	19		1		268
SRR10450211	60	8		13		108			2	78	28	7				224
SRR10450213	61	6		5	1	61	1		3	47	21		1			257
SRR10450217	65	7		11		67	3		1	55	17	1				242
SRR10450221	46					48										280
SRR10450222	108			16			26			6						226
SRR10450225	38	3		11	1	52	5			9	10	7				124
SRR10450227	39	6		10	1	44	1			7	14					111
SRR10450228	1			54	4	9	83		3	3		1		2		304
SRR10450230	107		12		15		45	31		20						157
SRR10450232	43			5	9	71	6	1		18			3			303
SRR10450233	62	4			11	59	11			23			7			236
SRR10450237	5			8	95	7	10		3	5			1			83
SRR10450240	8			11	25	5	2		4	10			9			139
SRR10450242	6			5	18	6	1			5			1			17
SRR10450245	4			7	9	3	9		4	30				1		71
SRR10450246	13			18	12	2	2		3	42			2			121
SRR10450248	15			9	9	45	10		2	2	10					27
SRR10450251	4			5	11	12	8		8	14						20
SRR10450253	8			10	11	8	7		2	13			1			17
SRR10450255	18			15		28	27		2	3					2	39
SRR10450258	8			38	2	5	18		6	9			7			238
SRR10450259	8			39		20	29	1	7				8	6	2	192
SRR10450261	64	9		13		71	1		4	46	16	3				271
SRR10450263	12			66	7	4	31		9	9		1		6		297
SRR10450265	6			22	2	16	8		4	2				3		30
SRR10450267	17			33	5	16	15		12	2				3	2	35
SRR10450269	10			28		9	24		1							95
SRR10450271	2			37	3	10	13		3			2	10	3		123
SRR10450274	3			44	2	10	11		3	5			1		1	89
SRR10450275	10			38	5	11	37		2	2		1		4		138
SRR10450278	11			11	5	24	36	2		12						21
SRR10450281				13	5	15	57		8	29		6		3		9
SRR10450284	54	5		15		52			4	80	14	11	3			278
SRR11639928	389						13	634								
SRR11639929	359				1		3	103								
SRR11639930	18						737	6								
SRR11639931					910		2									
SRR11639932	2						12	3								
SRR11639933							14	980								
SRR11639934					532		7	507								
SRR11639935	71		76			3	620	42								
SRR11639936	144		12				559	52								
SRR11639937	29					225	779									
SRR11639938	470						9	327								
SRR11639939	127						813	11								
SRR11639940							1009	15								
SRR11639941	449				3	176	164									
SRR11639942								915								
SRR11639943	33						3									139
SRR11639944	3				1		8	34								
SRR11639945	126		2				413	502								
SRR11639946							1048									
SRR11639947	461				2		417									
SRR11639948	3				2		6	138								
SRR11639949	719		107				24	25								7
SRR11639950							32	21								
SRR11639951							2									
SRR11639952	168						168	103								
SRR11639953	46				6		3	121								17
SRR11639954	2						17	1								
SRR11639967					53		11	39								
SRR11639978	9		3				54	30								
SRR11639989	25						91	12								6
SRR11640000	46				41	37	190									
SRR11640011	87						15	139								326
SRR11640022	45						130	13								
SRR11640033	7						408	1								
SRR11640044							7	47								
SRR11640059	9				35	32	192	153								
SRR11640070	106						459	23								
SRR11640078	53						173	20								
SRR11640079	62				48	50	276									
SRR11640080	19						95	4								
SRR11640081	18						51	45								
SRR11640096					21		356	27								
SRR11640107	248						230	31								
SRR11640115	4						19	2								2
SRR11640116	3						206	3								
SRR11640117	34				7		435	18								
TR1	118		2		153	52	8		8	140		6		1	1	109
TR2	128	4	3	1	138	53	7		12	123		11				117
TR3	112				47	212	4		4	89		4				124
SRR11919969																
SRR11919970																
SRR11919971																
SRR11919972																
SRR11919973																
SRR11919974																
SRR11919976																
SRR11919977																
SRR11919978																
SRR11919979																
SRR11919980																
SRR11919981																
SRR11919982																
SRR11919983																
SRR11919984																
SRR11919985																
SRR11919987																
SRR11919988																
SRR11919989																
SRR11919990																
SRR11919991																
SRR11919992																
0F1SS	66	1	50	5	1	44	127		17		26	1	6			226
0F2SS	53	2	51	15	11	49	165		17	3	11	4	34			228
0F3SS	45	3	27	6	5	71	84		14	1	11	1	10			209
0R1SS	66	3		3	4	9	42		24	7	4	2	5	1	3	241
0R2SS	67			9	8	3	23		17	5				1		219
0R3SS	62			2	8	9	35	1	16	4			9			189
1FC01FS	3					13	2									4
1FC02MS				1												1
1FC03FS							6									2
1FC04MS	1					3		1		11						
1FC05FS																
1FC06MS										1						
1FC07FS								1								3
1FC08MS										2						
1FC09FS																
1FC10MS					1					4						
1FD01FS	2	1				2	1			3						
1FD02MS										2						
1FD03FS	1															
1FD04MS	3					2				4						
1FD05FS	2					3				5						2
1FD06MS										1						1
1FD07FS						1	2			1						
1FD08MS										4						
1FD09FS							5									
1FD10MS	1					2				3						
1FN01-3FS	4						9			8					1	
1FN02MS																
1FN04MS										1				1		2
1FN05FS										3	1					
1FN06MS	1									1						
1FN08MS	1		3			2				11						
1FN10MS																
1RC01FS	2															1
1RC02MS	1						2									3
1RC03FS																
1RC04MS																
1RC05FS	3						1			3						1
1RC06MS	1									7	1				2	1
1RC07FS																
1RC08MS										6						
1RC09FS					30	2		1	1							1
1RC10MS																3
1RD01FS	5						4			2	3	1				
1RD02MS	7		1							1					1	
1RD03FS						1	2			2					2	2
1RD04MS										8				1		6
1RD05FS	1	7				27	12				12					6
1RD06MS										9						
1RD07FS	2		5							13					1	
1RD08MS							1			3						3
1RD09FS										3						2
1RD10MS																
1RN01FS										8					1	
1RN02MS										13						
1RN03FS	1									4						
1RN04MS										1						
1RN05FS	2									3					1	
1RN06MS										9						1
1RN07FS										2						
1RN08MS	4															1
1RN09FS																
1RN10MS	3									4						
2FC01MS	34	5		8	4	135			2	6		18			5	
2FC02MS	24			4	8	43			19						5	17
2FC03MS	9			16	1	13			6						3	4
2FC04MS	29			12					17	11	95	4			9	1
2FC05MS	28				3	48		12	5		8				2	25
2FD01MS	36	7			5	255	8	4	17			1			3	6
2FD02MS	48			3		18						6		11	6	10
2FD03MS	45			1		46			12	1		4			9	14
2FD04MS	50				77	14					29	3		1	9	6
2FD05MS	1					42		7		3	36	10	1		5	9
2FN01MS	12	36		2		126	23		10	3					1	24
2FN02MS	6					3									3	7
2FN03MS	18			19			3	1	71		38	4				10
2FN04MS	1				1				22	2		2			1	15
2FN05MS	18					49		1	7	2	24					43
2RC01MS	11			11		2	3	2	4	4	4					8
2RC02MS	10					6										8
2RC03MS						2						1			1	3
2RC04MS	8	3		19		3		1		2		7			8	12
2RC05MS	13					25			4							4
2RD01MS	33	59				27			4	10						
2RD02MS	7					10			1	7			1			
2RD03MS	2			7		45									1	2
2RD04MS	18				32	21			4	3				3		
2RD05MS	22					64									1	4
2RN01MS	30	5				13			3		6				8	33
2RN02MS						10				5	13					11
2RN03MS		24								6	6					
2RN04MS	10			4		34			5	14						4
2RN05MS	38					21			14		12	2			2	21
