SampleID	Methylobacterium	Pseudomonas-4	Pseudomonas-3	Unclassified Microbacteriaceae	Paenibacillus	Pseudomonas-2	Unclassified Enterobacteriaceae	Sphingomonas	Pseudomonas-1	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-2	Pantoea	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium-1	Pseudomonas-5
CAL-JM-JM2012-2-16S-21		984		1		1					4		
CAL-JM-JM2012-3-16S-34		15			1	4	1	8	2		18		
FLA-CH-VI2012-1-16S-na		3	3	1		1	6	3	3		21		
FLA-CH-VI2012-2-16S-na		10	4	1	1	1	8	4	1	1	39		
FLA-CH-VI2012-3-16S-na		1									992		
FLA-FR-VI2012-1-16S-na		1				1		2			978		
FLA-FR-VI2012-2-16S-na		21	15	3		4	4	14	6		24	1	1
FLA-FR-VI2012-3-16S-na		13	9	9		6	3	23	18	2	18	2	
FLC-FA-FA2012-1-16S-11		13	3			1	14		369		1	4	
FLC-FA-FA2012-2-16S-24		140	1			408	247		11		7		80
FLC-FA-FA2012-3-16S-37		175	19	2	3	9	7	7	24	4	13	7	2
FLC-JM-JM2012-1-16S-13	1	118	5	19		13	5	71	93	1	65		
FLC-JM-JM2012-2-16S-25	6	76	2	17	18	17	13	33	20	7	72	2	5
FLC-JM-JM2012-3-16S-32		30	2	5	2	6	608	19	7		128	6	6
RDB-FA-FA2012-1-16S-13		918	12		40		2				16		
RDB-FA-FA2012-2-16S-27		96	48		5	2	100		99		14		
RDB-FA-FA2012-3-16S-33		941					16				34		
RDB-JM-JM2012-1-16S-14		997											
RDB-JM-JM2012-2-16S-22		127	6	9	20	15	38	15	40	1	381	1	7
RDB-JM-JM2012-3-16S-31	1	44	4	32	5	9	18	46	18	4	23	5	
RDC-JM-JM2012-2-16S-23		88	9	15	71	25	26	44	13	2	177	3	9
RDC-JM-JM2012-3-16S-33		527	2	2	1		6	8	5	1	355	1	1
RDC-PC-PC2012-1-16S-na		547		1				3		1	409	1	
SES-FA-FA2012-1-16S-18		945	2				4		1		16	1	2
SES-FA-FA2012-1-16S-na		4					2				747		
SES-FA-FA2012-2-16S-29		94	3	2	1	15	12	4	8	1	92	4	5
SES-FA-FA2012-3-16S-34		926					1		1		46		
SES-FA-MB2012-1-16S-na		3									638		
SES-JM-JM2012-1-16S-11		163	6	14	67	8	14	21	45	2	202	2	3
SES-JM-JM2012-2-16S-26		990						2			3		
SES-JM-JM2012-3-16S-35		425	7	8	19	6	5	18	9	3	69		2
SES-MB-BM2012-1-16S-na		364	6			2		4	5	4	7	107	2
