SampleID	Erwinia persicina	Pseudomonas fluorescens-1	Pseudomonas fluorescens-3	Pseudomonas viridiflava-2	Pantoea agglomerans-2	Cutibacterium acnes	Pseudomonas antarctica	Pseudomonas fluorescens-2	Stenotrophomonas sp	Pseudomonas poae	Pantoea agglomerans-1	Unclassified Clostridiales	Pantoea agglomerans-3	Pseudomonas viridiflava-1	Paenibacillus sp-1	Rhizobium sp	Pseudomonas viridiflava-3	Paenibacillus sp-2
MOH1c	150	18		29		5		2			124	9	6	10	27			
MOH2a	5	4		9	343						231	15	5	24	7			
MOH2b	24			45	45	2					525	7		1	4		15	
MOH2c	42			13	89	4					183	3	16	2	23			
MOH3a	60	1		2	3	4					95	1	2	8		1		
MOH3b	269			2		7					28	1	23	2	5			
MOH3c	204	24				2					715		4					
RAF1a	49	24		17	5						225	2	13	1	7		37	
TEN1a	23			1	526	3					272	6	4	2	3			
TEN1b	493	5		2	3			1			89	8	118	1	32			
TEN1c	366	1		1	6	1		1			154	2	189	3	17			
TEN2a	265	3		4	5	17		6			150	9	120		14	1	2	
TEN2b	37	7	28	3	12	56		1	4		50	5	32	1	6			
TEN2c	94	4		9	8	21		33			98	20	31	2	86			33
TEN3a	759			5				122					29	5			14	
TEN3b	85			1	13	30					32	5	10	54				
ZOR1b	467	5		28		7					15	4	5		82		5	
ZOR1c	333			1	3	3		2	42		279	1	8		1			
ZOR2a	24			11	12	2			3		754	16		39	63			
ZOR2b	26	14		11	15						285	49		65	23			
ZOR2c	24	2		2	4	4		8			755	2	97		17			
ZOR3a	9				968													
ZOR3b	334			1	15	25					58		4	5	3			
ZOR3c	109			10	12	9					93		3	2	1		3	
gyrB-Astrid-AF-1	9				298									16		6		
gyrB-Astrid-AF-2				13		7					26	2				7		
gyrB-Astrid-AF-3	3			22									18	110	23			
gyrB-Astrid-AF-4				9							8			17	4			
gyrB-Astrid-AF-5				9									12	32	1	13		
gyrB-Astrid-B1-1	64	1		24					4		108	5	2	139	3		20	
gyrB-Astrid-B1-2	22	272		5					1		58		13	6	2		1	
gyrB-Astrid-B1-3	29	23		35					12		289	1	76	6	3		12	
