SampleID	Erwinia persicina	Pseudomonas fluorescens-1	Pseudomonas fluorescens-3	Pseudomonas viridiflava-2	Pantoea agglomerans-2	Cutibacterium acnes	Pseudomonas antarctica	Pseudomonas fluorescens-2	Stenotrophomonas sp	Pseudomonas poae	Pantoea agglomerans-1	Unclassified Clostridiales	Pantoea agglomerans-3	Pseudomonas viridiflava-1	Paenibacillus sp-1	Rhizobium sp	Pseudomonas viridiflava-3	Paenibacillus sp-2
AI12	10			24	66				4		628		124	5	1	1		
AI13	28			213	19			18	18		420		26	16	2			
AI21	95	6		54	22				6		299		167	14	1	3	1	2
AI22	20	2		59	13						671	2	21	3				
AI23	30			158	25			44			458	1	50	12	4			3
AN01	12			62	15			28	1		177		166	218	5		6	
AN02	17			99	3			24	1		480		88	9	3		2	
AN03	10			57	14	2			9		324	2	140	36	6			
AN10	33			43	9			25	6	4	579		118	14	1			
AN11	118	2		59	5			150			325		77	11	3			
AN12	56			84	2			25	1		517		166	30	1		3	
AS01	14	3		63	1			19	1		632		33	13	1			
AS02	7	3		62	5						645		65	9	2			
AS03	11			26	35				8		633		29	52	4		1	
AS10	7			121	10			26			446		63	152	4		2	
AS11	3			87				6	2		359		342	20	2		7	
AS12	8	11		290	11			21	3	1	198		52	16	14		1	
C01	16			70	43				2		657	2	31	1				
C02	11			34	102				2		385		170	19	6			
C03	19			119	52			6			545		26					
C04	7			40	138			36	1	12	306		78		1		1	3
C05	42	60		64	23			12	4		433	3	73	6	10		18	
C06	47			63	130				4		478	2	24	7	1			6
C07	20	3		72	29			1	1	131	368		95	23				6
C08	18			41	60				5		275	2	29	16	1	1		
C09	21			53	16				3		194	1	39	12				
C113	4			31	13				3		706	7						
C12	48			60	91			34			347	3	27			1		
C13	48	18		46	44						260	4	78	1	5		3	13
C14	5			17	1			43	5		126	3	5					
C15	4			205					3		154		9		1			
C16	38			118	189			3	1		326	2	127		2			1
C17	4			120	179				1		521	1	17	6	4	6		1
C18	20			13	37			89			276	1	167	22	3			
C19	46	2		149	134				3		448		10		13			
C213	27			65	2			12			185		74	119	4			
C22	51	4		129	62						557		110		1			
C23	169			38	5				178		96		99	98				
C24	163	34		115	26			31	1		160	1	102	7	1			
C25	234			301					1		157		65			1		
C26	33			80	114						493		76		1			
C27	55			408	6						332	1	25		7			
C28	15			39	57						663	1	38					
C29	40			18	11						686	1	90	74	1	1		
C313	19			163	2			36			350	1	34		3			2
C32	102			55	19						233	1	77	1				
C33	47			32	22						335		204	13	6			
C34	7			165	5						419		61					
C35	8			43	59						182	1	116		2			
C36	64			11	22						321		129					
C37	4			1	10				1		477		31					
C38	36			1	21						286		104		10			
C39	25			16	4						232		43					
C42	38			23	130				2		552		63		6			
C43	52			44	528				13		155		85					
C44	48			264	36						220		78		6			
C45	56	12		617	6						48		6		4			
C46	61	1		42	35						349	2	237		3			
C47	5	3		36	36				1		589		97					
C48	125	2		8					9		612		104			3		
C49	35	4		36	26				7		124	1	308		1			
CB01	199			156	143						124	1	80	18			2	
CB02	18	12		10	162						294	1	19	59				
CI11	40	4		108	3			3	1		566	2	136	4	2	1		3
CI12	47			207	40			5	3		350		34	67	2	2		1
CI13	32			177	14				2		506		46	40	6	1		
CI21	72			126	56			16	3		558	5	22		31			
CI22	27			119	70			3	26		404	1	143	46	4	1		
CI23	32			65	15				23		390		194	13	3		6	
CI31	30			104	126				1	1	449	2	35	5	1	1		
CI32	49			134	60				1		467	2	96	5	1		1	
CI33	31	2		404	4						288	5	70	5	12	1		
CI41	26			100	25				5		607		62		1	1		
CI42	28	4		339	56				3		248	5	102	1	1	1		
CI43	11			63	43				3		608	2	23				8	
CN01	22	25		58	7			12			559		109	40				
CN02	22	10		54	12			28	4	1	424	2	69	36	2	1	1	
CN03	10			31	63			3	6		332		38	9	2			
CS01	21			36	32						291		27	3	1		5	
CS02	6	1		37	12			91		2	318	2	21	304	7		3	6
CS03	19	1		81	23		1	15	3		433		149	11	5		2	1
IB01	10	11	2	28		4					424		280	35			3	
IB02	98	6		84	3						13	1			2			
IN01	7			56	13				4		424					2	217	
IN02	28	4	2	96					7		480			18	7		15	
IN03	9		1	73							160	2	13	2	6		22	
IS01	3			42	19						16	1		3			10	8
IS02		1		17	26				1		243		5	197				
IS03		7		30	72						451			3	1		44	
X01	20			24	21			6	10		682		34	34				
X02	8			9	1			484	1		400		33	1		2		
X03	31			37				4			356	1	148	1	1		12	1
X04	24			110	23				7		425	10	58					
X05	36			272	12				1	3	479		23		7		1	
X06	11	2		61	105			69			489		39	20	1			
X07	6			5	62						424	1	138	4	1			
X08	38			7	22						382		60	5	14		61	
X10	8				1			5	1	2	423	1	170	250			1	
X11	36			32	4			31	2		387	2	147	94	1			
X12	24			219	52			1	3	1	397		67	4	1		1	
X13	22			12	27						431		80	39	7		150	
X14	23	19		84	70						387		132	5	1	1		
X15	39	1		111	1				2	1	249	3	139		33			
X16	33	1		95	57				3		528	1	94		1	2	4	
X17	12	12		50	19			2	7	11	508	1	128		1	1	13	2
X18	12			152	9			12			186		316		8			
X22	40	1	3	251	52						527		15	8	2			
X23	44			32	5				8		396	1	63	64	2	1	3	4
X24	27			74	54						429	1	163	2				
X25	61			94	1						493		56	5		5		
X26	10			165	8				8		503	1	22			1		
X27	13			275	21						401		165		7		8	
X28	154			159	5						320		10	23	3	2		2
X29	12	1		158	4						744	3	49					
XB01	10	25		97	8				5		482	1	6	115	2		3	
XB02				67	27				28		590		12	121			10	
XB10	44			86	1		1				236		398	22				
XB11	60			60	51			2	11		469		45	3				
XI11	61			75	18				3		587	1	71	1				
XI12	90			119	95						331		20	32	6		2	
XI13	97			95	72			13	3		455	1	130	5	1			
XI21	60	4		52	17				1	1	738		23	2	3			
XI22	91			360	17				1		345		71	2	6	1		
XI23	92			193	120				2		305	1	116	2	1			
XN01	8	3		114	100			11			571		39	6			12	
XN02	19	1		25	15			2	1	8	413		36	333			5	
XN03	7	5		60	35			36	12		366		97	48	7		16	
XN10	7			30							399	1	45	16			4	
XN11	5			32	103				23	1	567		32	15				
XN12	1			63	8				4	11	300		215	29		1	3	2
XS01	8	1		98	28			57	4		377		169	7	2		16	
XS02	2	1		45	8				8	2	653	1	32	13	4	1		
XS03	10	1		215	4				23		170	1	35	111	4	1	16	3
XS10	8			60	16					2	246		332	8	5		8	
XS11	2	15		62	18						434		89	24	2		2	
XS12	5	7		68	2			2	2	1	308	4	101	6	17		88	
V3C1-gyrB	141			12	198						417		6		7			
V3C2-gyrB	62				16						683		101					
V3C3-gyrB	1				70						789		17					
V3G1-gyrB	8			8	14						25							
V3G2-gyrB				40	101						518		73					
V3Sa1-gyrB	319			14	30					3	120		57	69	1			
V3Sa3-gyrB	279				85						69		12		2			
V3Sb1-gyrB	170			17	23						412		153	84			2	
V3Sb2-gyrB				2	631						143		35	2				
V3Sb3-gyrB	98			1	135						408		180				47	
V3Sc1-gyrB	15				33						358		275					
V3Sc2-gyrB	31				34						20		536				1	
V3Sc3-gyrB				491	17						459		5				3	
V3Sd1-gyrB	6			11	6						214		731	1				
V3Sd2-gyrB	123			188	203						81		391	2	1			
V3Se2-gyrB				96							123		566	23				
AG1-B	315	3		61	28					3	339	1	97	7				
AG2-B	469			65	8						258		26	9	4	1		
AG3-B	63			139	26						588	3	62		2			
AG4-B	199	2		193	21				1		80	1	33	20	1			
AG5-B	162			21	16						274		46	112	3			
AG6-B	167	4		62	19				2		216	1	52	32	14			
AG7-B	101	9		132	18						323		45	42			4	
AG8-B	131	8		78	13						366		42	81	2		8	
CG1-B	58			198	19			3	15		141	1	156	94				
CG2-B	6	5		122							784		38	6	1			
CG3-B	14	1		120	7						770		31	11				
CG4-B	16			15	306						164		241	183				
CG5-B	12			95	13			2			278	6	395	96	21			
CG5-F	61			251				8			347		98	47	4			
CG6-B	82			9	2						199		5	119				
CG7-B	17			60	6			1			238		258	88	13			
CG8-B	17			58	9			1			226	1	242	108	6	1		
XG1-B	52			115	3			16	1		610		105		1			
XG2-B	193			112	30			11			265		20	1	2	1		
XG3-B	90			114	8			8	1		531		68		1	1		
XG5-B	18			31	4			1			861		6	1	4	1		
XG6-B	158			186	45						358		72	21	2	1		2
XG8-B	8			142	67						572		50	6	2			
